gsm	short_name	label	load_ok	n_cells	n_features_total	n_gene_expression	feature_types	genome	reporters_found	n_duplicate_gene_symbols	duplicate_examples	n_overlap_with_ref	pct_of_ref_covered	n_ref_missing	n_query_extra_ge	x_dtype	x_is_integer	sample_gene_names	sample_ensembl_ids
GSM5819131	CG7	primary_preculture_PL2	True	1148	33539	33539	{'Gene Expression': 33539}	['GRCh38_tdtomato_10X']	QRFPR; RFPL4B; QRFP; RFPL4A; RFPL4AL1; RFPL1S; RFPL1; RFPL2; RFPL3; RFPL3S; TDTOMATO	32	FAM212B; TBCE; LINC01115; PDE11A; LINC01238	26975	87.43	3877	6532	float32	True	MIR1302-2HG; FAM138A; OR4F5; AL627309.1; AL627309.3	ENSG00000243485; ENSG00000237613; ENSG00000186092; ENSG00000238009; ENSG00000239945
GSM5819132	CG8	primary_preculture_PL1	True	879	33539	33539	{'Gene Expression': 33539}	['GRCh38_tdtomato_10X']	QRFPR; RFPL4B; QRFP; RFPL4A; RFPL4AL1; RFPL1S; RFPL1; RFPL2; RFPL3; RFPL3S; TDTOMATO	32	FAM212B; TBCE; LINC01115; PDE11A; LINC01238	26975	87.43	3877	6532	float32	True	MIR1302-2HG; FAM138A; OR4F5; AL627309.1; AL627309.3	ENSG00000243485; ENSG00000237613; ENSG00000186092; ENSG00000238009; ENSG00000239945
GSM5819129	CG5	primary_cultured_PL2	True	1439	33539	33539	{'Gene Expression': 33539}	['GRCh38_tdtomato_10X']	QRFPR; RFPL4B; QRFP; RFPL4A; RFPL4AL1; RFPL1S; RFPL1; RFPL2; RFPL3; RFPL3S; TDTOMATO	32	FAM212B; TBCE; LINC01115; PDE11A; LINC01238	26975	87.43	3877	6532	float32	True	MIR1302-2HG; FAM138A; OR4F5; AL627309.1; AL627309.3	ENSG00000243485; ENSG00000237613; ENSG00000186092; ENSG00000238009; ENSG00000239945
GSM5819130	CG6	primary_cultured_PL1	True	2097	33539	33539	{'Gene Expression': 33539}	['GRCh38_tdtomato_10X']	QRFPR; RFPL4B; QRFP; RFPL4A; RFPL4AL1; RFPL1S; RFPL1; RFPL2; RFPL3; RFPL3S; TDTOMATO	32	FAM212B; TBCE; LINC01115; PDE11A; LINC01238	26975	87.43	3877	6532	float32	True	MIR1302-2HG; FAM138A; OR4F5; AL627309.1; AL627309.3	ENSG00000243485; ENSG00000237613; ENSG00000186092; ENSG00000238009; ENSG00000239945
GSM5819133	CG12	iAEC2_3D	True	2982	33539	33539	{'Gene Expression': 33539}	['GRCh38_tdtomato_10X']	QRFPR; RFPL4B; QRFP; RFPL4A; RFPL4AL1; RFPL1S; RFPL1; RFPL2; RFPL3; RFPL3S; TDTOMATO	32	FAM212B; TBCE; LINC01115; PDE11A; LINC01238	26975	87.43	3877	6532	float32	True	MIR1302-2HG; FAM138A; OR4F5; AL627309.1; AL627309.3	ENSG00000243485; ENSG00000237613; ENSG00000186092; ENSG00000238009; ENSG00000239945
GSM5819134	CG13	iAEC2_3D_insert	True	2068	33539	33539	{'Gene Expression': 33539}	['GRCh38_tdtomato_10X']	QRFPR; RFPL4B; QRFP; RFPL4A; RFPL4AL1; RFPL1S; RFPL1; RFPL2; RFPL3; RFPL3S; TDTOMATO	32	FAM212B; TBCE; LINC01115; PDE11A; LINC01238	26975	87.43	3877	6532	float32	True	MIR1302-2HG; FAM138A; OR4F5; AL627309.1; AL627309.3	ENSG00000243485; ENSG00000237613; ENSG00000186092; ENSG00000238009; ENSG00000239945
GSM5819135	CG14	iAEC2_MRC5_insert	True	2232	33539	33539	{'Gene Expression': 33539}	['GRCh38_tdtomato_10X']	QRFPR; RFPL4B; QRFP; RFPL4A; RFPL4AL1; RFPL1S; RFPL1; RFPL2; RFPL3; RFPL3S; TDTOMATO	32	FAM212B; TBCE; LINC01115; PDE11A; LINC01238	26975	87.43	3877	6532	float32	True	MIR1302-2HG; FAM138A; OR4F5; AL627309.1; AL627309.3	ENSG00000243485; ENSG00000237613; ENSG00000186092; ENSG00000238009; ENSG00000239945
