query_dataset_id	query_dataset_title	source_accession	source_accession_version_or_last_update	source_lab_or_group	source_publication_pmid_or_doi	local_query_set_id	local_query_sample_id	source_sample_id	source_sample_name	sample_role	sample_include_flag	exclude_reason	species	source_type	donor_id	donor_stage_label	donor_age_value	donor_age_unit	cell_line_id	clone_or_line_name	healthy_or_disease	disease_or_perturbation	culture_format	passage_or_timepoint	co_culture_context	sorting_or_enrichment	modality	raw_counts_available	processed_object_available	source_processed_object_type	source_processed_object_path_or_url	raw_data_path_or_url	download_date	downloaded_by	download_checksum	conversion_script	conversion_date	output_h5ad_path	output_metadata_path	cell_count_pre_qc	cell_count_post_qc	gene_count	feature_space_notes	reference_compatibility_tier	intended_analysis_role	query_ready_flag	qc_status	notes
external_gse193716	Transcriptomic profiling of freshly isolated primary adult human alveolar epithelial type 2 cells (AEC2s), their isogenic cultured progeny, and human iPSC-derived AEC2s (iAEC2s)	GSE193716	2023-01-01	Kotton lab / Boston University / Center for Regenerative Medicine	PMID:36454643; DOI:10.1172/jci.insight.158937	external_gse193716_scRNA	GSM5819131_primary_preculture_PL2	GSM5819131	CG7	candidate_external_scRNA	true		Homo sapiens	primary adult AEC2 (freshly isolated)	PL2	adult			NA	NA	healthy	none; freshly isolated from adult donor lung explant	freshly isolated (not cultured)	pre-culture	none	FACS EPCAM+/HTII-280+	scRNA	true	true	CellRanger v3 filtered H5	GSM5819131_CG7.filtered_feature_bc_matrix.h5	SRA:SRX13790297						queries/converted/gse193716/GSM5819131_primary_preculture_PL2.h5ad					hg19 + TdTomato reporter; gene-space compatibility with hg38 reference must be verified during conversion	nearest_external	nearest_external_validation	false	registered_not_validated	Primary adult AEC2 freshly isolated from donor PL2; FACS EPCAM+/HTII-280+ purified; primary benchmark candidate — adult primary tissue on fetal lung reference has unknown interpretability; genome build is hg19 not hg38; intended role is primary-benchmark-candidate (not yet in contract enum); isogenic cultured counterpart is GSM5819129
external_gse193716	Transcriptomic profiling of freshly isolated primary adult human alveolar epithelial type 2 cells (AEC2s), their isogenic cultured progeny, and human iPSC-derived AEC2s (iAEC2s)	GSE193716	2023-01-01	Kotton lab / Boston University / Center for Regenerative Medicine	PMID:36454643; DOI:10.1172/jci.insight.158937	external_gse193716_scRNA	GSM5819132_primary_preculture_PL1	GSM5819132	CG8	candidate_external_scRNA	true		Homo sapiens	primary adult AEC2 (freshly isolated)	PL1	adult			NA	NA	healthy	none; freshly isolated from adult donor lung explant	freshly isolated (not cultured)	pre-culture	none	FACS EPCAM+/HTII-280+	scRNA	true	true	CellRanger v3 filtered H5	GSM5819132_CG8.filtered_feature_bc_matrix.h5	SRA:SRX13790298						queries/converted/gse193716/GSM5819132_primary_preculture_PL1.h5ad					hg19 + TdTomato reporter; gene-space compatibility with hg38 reference must be verified during conversion	nearest_external	nearest_external_validation	false	registered_not_validated	Primary adult AEC2 freshly isolated from donor PL1; FACS EPCAM+/HTII-280+ purified; primary benchmark candidate — adult primary tissue on fetal lung reference has unknown interpretability; genome build is hg19 not hg38; intended role is primary-benchmark-candidate (not yet in contract enum); isogenic cultured counterpart is GSM5819130
external_gse193716	Transcriptomic profiling of freshly isolated primary adult human alveolar epithelial type 2 cells (AEC2s), their isogenic cultured progeny, and human iPSC-derived AEC2s (iAEC2s)	GSE193716	2023-01-01	Kotton lab / Boston University / Center for Regenerative Medicine	PMID:36454643; DOI:10.1172/jci.insight.158937	external_gse193716_scRNA	GSM5819129_primary_cultured_PL2	GSM5819129	CG5	candidate_external_scRNA	true		Homo sapiens	primary adult AEC2 (cultured with MRC5 fibroblasts)	PL2	adult			NA	NA	healthy	none; cultured in CK+DCI medium with MRC5 fibroblasts	3D co-culture on cell culture insert	P0	MRC5 fibroblasts (1:10 ratio)	FACS EPCAM+ (post-culture)	scRNA	true	true	CellRanger v3 filtered H5	GSM5819129_CG5.filtered_feature_bc_matrix.h5	SRA:SRX13790295						queries/converted/gse193716/GSM5819129_primary_cultured_PL2.h5ad					hg19 + TdTomato reporter; gene-space compatibility with hg38 reference must be verified during conversion	nearest_external	nearest_external_validation	false	registered_not_validated	Primary adult AEC2 cultured with MRC5 fibroblasts on insert from donor PL2; CK+DCI medium; FACS EPCAM+ sorted post-culture to exclude fibroblasts; primary benchmark candidate — adult primary tissue on fetal lung reference has unknown interpretability; genome build is hg19 not hg38; isogenic pre-culture counterpart is GSM5819131
external_gse193716	Transcriptomic profiling of freshly isolated primary adult human alveolar epithelial type 2 cells (AEC2s), their isogenic cultured progeny, and human iPSC-derived AEC2s (iAEC2s)	GSE193716	2023-01-01	Kotton lab / Boston University / Center for Regenerative Medicine	PMID:36454643; DOI:10.1172/jci.insight.158937	external_gse193716_scRNA	GSM5819130_primary_cultured_PL1	GSM5819130	CG6	candidate_external_scRNA	true		Homo sapiens	primary adult AEC2 (cultured with MRC5 fibroblasts)	PL1	adult			NA	NA	healthy	none; cultured in CK+DCI medium with MRC5 fibroblasts	3D co-culture on cell culture insert	P0	MRC5 fibroblasts (1:10 ratio)	FACS EPCAM+ (post-culture)	scRNA	true	true	CellRanger v3 filtered H5	GSM5819130_CG6.filtered_feature_bc_matrix.h5	SRA:SRX13790296						queries/converted/gse193716/GSM5819130_primary_cultured_PL1.h5ad					hg19 + TdTomato reporter; gene-space compatibility with hg38 reference must be verified during conversion	nearest_external	nearest_external_validation	false	registered_not_validated	Primary adult AEC2 cultured with MRC5 fibroblasts on insert from donor PL1; CK+DCI medium; FACS EPCAM+ sorted post-culture to exclude fibroblasts; primary benchmark candidate — adult primary tissue on fetal lung reference has unknown interpretability; genome build is hg19 not hg38; isogenic pre-culture counterpart is GSM5819132
external_gse193716	Transcriptomic profiling of freshly isolated primary adult human alveolar epithelial type 2 cells (AEC2s), their isogenic cultured progeny, and human iPSC-derived AEC2s (iAEC2s)	GSE193716	2023-01-01	Kotton lab / Boston University / Center for Regenerative Medicine	PMID:36454643; DOI:10.1172/jci.insight.158937	external_gse193716_scRNA	GSM5819133_iAEC2_3D	GSM5819133	CG12	candidate_external_scRNA	true		Homo sapiens	iPSC-derived iAEC2 (SPC2-ST-B2, 3D feeder-free)	SPC2-ST-B2	iPSC	not applicable	not applicable	SPC2-ST-B2	SPC2-ST-B2	healthy	none; iPSC-derived iAEC2 in CK+DCI medium	3D Matrigel alveolosphere	Day 114 differentiation	none (feeder-free)	FACS live cells	scRNA	true	true	CellRanger v3 filtered H5	GSM5819133_CG12.filtered_feature_bc_matrix.h5	SRA:SRX13790299						queries/converted/gse193716/GSM5819133_iAEC2_3D.h5ad					hg19 + TdTomato reporter; gene-space compatibility with hg38 reference must be verified during conversion	nearest_external	nearest_external_validation	false	registered_not_validated	iAEC2 from SPC2-ST-B2 in 3D Matrigel feeder-free; same iPSC line as GSE221343 CK+DCI samples; Day 114 distal lung directed differentiation; genome build is hg19 not hg38; enables controlled same-line comparison with GSE221343
external_gse193716	Transcriptomic profiling of freshly isolated primary adult human alveolar epithelial type 2 cells (AEC2s), their isogenic cultured progeny, and human iPSC-derived AEC2s (iAEC2s)	GSE193716	2023-01-01	Kotton lab / Boston University / Center for Regenerative Medicine	PMID:36454643; DOI:10.1172/jci.insight.158937	external_gse193716_scRNA	GSM5819134_iAEC2_3D_insert	GSM5819134	CG13	candidate_external_scRNA	true		Homo sapiens	iPSC-derived iAEC2 (SPC2-ST-B2, 3D/insert)	SPC2-ST-B2	iPSC	not applicable	not applicable	SPC2-ST-B2	SPC2-ST-B2	healthy	none; iPSC-derived iAEC2 in CK+DCI medium	3D cell culture insert	Day 114 differentiation	none (feeder-free)	FACS live cells	scRNA	true	true	CellRanger v3 filtered H5	GSM5819134_CG13.filtered_feature_bc_matrix.h5	SRA:SRX13790300						queries/converted/gse193716/GSM5819134_iAEC2_3D_insert.h5ad					hg19 + TdTomato reporter; gene-space compatibility with hg38 reference must be verified during conversion	nearest_external	nearest_external_validation	false	registered_not_validated	iAEC2 from SPC2-ST-B2 on 3D cell culture insert feeder-free; same iPSC line as GSE221343; Day 114 distal lung directed differentiation; genome build is hg19 not hg38; culture format comparison with 3D Matrigel (GSM5819133) and +MRC5 insert (GSM5819135)
external_gse193716	Transcriptomic profiling of freshly isolated primary adult human alveolar epithelial type 2 cells (AEC2s), their isogenic cultured progeny, and human iPSC-derived AEC2s (iAEC2s)	GSE193716	2023-01-01	Kotton lab / Boston University / Center for Regenerative Medicine	PMID:36454643; DOI:10.1172/jci.insight.158937	external_gse193716_scRNA	GSM5819135_iAEC2_MRC5_insert	GSM5819135	CG14	candidate_external_scRNA	true		Homo sapiens	iPSC-derived iAEC2 (SPC2-ST-B2, +MRC5/insert)	SPC2-ST-B2	iPSC	not applicable	not applicable	SPC2-ST-B2	SPC2-ST-B2	healthy	none; iPSC-derived iAEC2 in CK+DCI medium with MRC5 fibroblasts	3D cell culture insert with MRC5 fibroblasts	Day 114 differentiation	MRC5 fibroblasts	FACS EPCAM+ (post-culture)	scRNA	true	true	CellRanger v3 filtered H5	GSM5819135_CG14.filtered_feature_bc_matrix.h5	SRA:SRX13790301						queries/converted/gse193716/GSM5819135_iAEC2_MRC5_insert.h5ad					hg19 + TdTomato reporter; gene-space compatibility with hg38 reference must be verified during conversion	nearest_external	nearest_external_validation	false	registered_not_validated	iAEC2 from SPC2-ST-B2 co-cultured with MRC5 fibroblasts on insert; FACS EPCAM+ sorted post-culture to exclude fibroblasts; same iPSC line as GSE221343; Day 114 distal lung directed differentiation; genome build is hg19 not hg38; culture format + stromal interaction comparison
