query_dataset_id	query_dataset_title	source_accession	source_accession_version_or_last_update	source_lab_or_group	source_publication_pmid_or_doi	local_query_set_id	local_query_sample_id	source_sample_id	source_sample_name	sample_role	sample_include_flag	exclude_reason	species	source_type	donor_id	donor_stage_label	donor_age_value	donor_age_unit	cell_line_id	clone_or_line_name	healthy_or_disease	disease_or_perturbation	culture_format	passage_or_timepoint	co_culture_context	sorting_or_enrichment	modality	raw_counts_available	processed_object_available	source_processed_object_type	source_processed_object_path_or_url	raw_data_path_or_url	download_date	downloaded_by	download_checksum	conversion_script	conversion_date	output_h5ad_path	output_metadata_path	cell_count_pre_qc	cell_count_post_qc	gene_count	feature_space_notes	reference_compatibility_tier	intended_analysis_role	query_ready_flag	qc_status	notes
external_gse289846	The iPSC-derived pulmonary epithilial cells in micro-patterned culture plate [scRNA-seq]	GSE289846	2026-02-18	Gotoh lab / CiRA Kyoto University	PMID:41680175; DOI:10.1038/s41467-026-68909-z	external_gse289846_scRNA	GSE289846_3i_Day7	GSM8800137;GSM8800138	3i_Day7	candidate_external_scRNA	true		Homo sapiens	iPSC-derived alveolar epithelial organoid (DCIK+3i Day7)	B2-3	iPSC		not applicable	B2-3	B2-3	healthy	none; DCIK+3i alveolar differentiation medium	micro-patterned culture plate	Day7	none stated	none stated	scRNA	true	true	CellRanger v7.1.0 condition-level mtx triplet	GSE289846_3i_Day7_barcodes.tsv.gz + features.tsv.gz + matrix.mtx.gz	SRA (per-replicate FASTQ)						queries/converted/gse289846/GSE289846_3i_Day7.h5ad						nearest_external	nearest_external_validation	false	registered_not_validated	iAT2 baseline at Day7 in DCIK+3i medium on micro-patterned plate; condition-level matrix merging 2 biological replicates (GSM8800137=3i_1_Day7, GSM8800138=3i_2_Day7); cell counts not yet verified locally
external_gse289846	The iPSC-derived pulmonary epithilial cells in micro-patterned culture plate [scRNA-seq]	GSE289846	2026-02-18	Gotoh lab / CiRA Kyoto University	PMID:41680175; DOI:10.1038/s41467-026-68909-z	external_gse289846_scRNA	GSE289846_3i_LATS_Day14	GSM8800133;GSM8800134	3i_LATS_Day14	candidate_external_scRNA	true		Homo sapiens	iPSC-derived alveolar epithelial organoid (DCI+LATS-IN-1 Day14)	B2-3	iPSC		not applicable	B2-3	B2-3	healthy	LATS-IN-1 kinase inhibitor (AT1 induction)	micro-patterned culture plate	Day14	none stated	none stated	scRNA	true	true	CellRanger v7.1.0 condition-level mtx triplet	GSE289846_3i_LATS_Day14_barcodes.tsv.gz + features.tsv.gz + matrix.mtx.gz	SRA (per-replicate FASTQ)						queries/converted/gse289846/GSE289846_3i_LATS_Day14.h5ad						nearest_external	nearest_external_validation	false	registered_not_validated	AT1 induction via LATS-IN-1 at Day14; condition-level matrix merging 2 biological replicates (GSM8800133=3i_LATS_1_Day14, GSM8800134=3i_LATS_2_Day14); cell counts not yet verified locally
external_gse289846	The iPSC-derived pulmonary epithilial cells in micro-patterned culture plate [scRNA-seq]	GSE289846	2026-02-18	Gotoh lab / CiRA Kyoto University	PMID:41680175; DOI:10.1038/s41467-026-68909-z	external_gse289846_scRNA	GSE289846_3i_PAL_Day14	GSM8800135;GSM8800136	3i_PAL_Day14	candidate_external_scRNA	true		Homo sapiens	iPSC-derived alveolar epithelial organoid (PAL transitional Day14)	B2-3	iPSC		not applicable	B2-3	B2-3	healthy	PAL medium (alveolar transitional state induction)	micro-patterned culture plate	Day14	none stated	none stated	scRNA	true	true	CellRanger v7.1.0 condition-level mtx triplet	GSE289846_3i_PAL_Day14_barcodes.tsv.gz + features.tsv.gz + matrix.mtx.gz	SRA (per-replicate FASTQ)						queries/converted/gse289846/GSE289846_3i_PAL_Day14.h5ad						nearest_external	nearest_external_validation	false	registered_not_validated	Alveolar transitional cell state induction via PAL medium at Day14; condition-level matrix merging 2 biological replicates (GSM8800135=3i_PAL_1_Day14, GSM8800136=3i_PAL_2_Day14); cell counts not yet verified locally
