state_fine	anchor_CA1_BU3	GSE237359	GSE221343	GSE289846	GSE308817	GSE193716_iAEC2	n_tranches	cross_lab_replicated	note
Basal cells	CA1; BU3						1	no	proximal anchor only; mid_GW14_16 / week_15
Tip cells		G237359_15934; G237359_16011; G237359_16392; G237359_16402					1	no	distal fetal-derived only; late_GW17_19 / week_18
Stromal-like cells 1			GSM6858854_CK_DCI; GSM6858855_YAP5SA_CK_DCI				1	no	reference label mapping not actual stromal; iAT2 samples only
SOX2lowCFTR+ cells			GSM6858856_L_DCI	GSE289846_3i_LATS_Day14			2	yes	AT1-directed state; replicates across BU (L+DCI) and Kyoto (LATS-IN-1)
Proliferating progenitors				GSE289846_3i_Day7		GSM5819133_iAEC2_3D; GSM5819134_iAEC2_3D_insert; GSM5819135_iAEC2_MRC5_insert	2	no	same lab (BU) for GSE193716 but different dataset; replicates GSE289846 3i_Day7 cross-dataset
PNEC				GSE289846_3i_PAL_Day14			1	no	transitional neuroendocrine; only row with stage shift to early_GW10_13
Budtip progenitors					GSE308817_ALOp3; GSE308817_ALOp7; GSE308817_ALOp20		1	no	passage series; ambiguity 30-50%; early_GW10_13
