proposed_query_id,source_file,sample_id,sample_name,organoid_line,donor_or_clone,batch,protocol_version,collection_day_or_week,extraction_rule,available_modalities,estimated_cell_count,query_ready,anchor_status,reason_if_not_ready,notes
CA1,GSE266789_hPSC_fetal_lung_organoids.rds,query_CA1_organoid_01,CA1_exp_org,CA1,TODO,GSE266789_CA1_exp_org,TODO,TODO,subset orig.ident == CA1_exp_org,scRNA-seq,1719,yes,anchor,,extracted as converted/query_CA1_clean.h5ad
BU3,GSE266789_hPSC_fetal_lung_organoids.rds,query_BU3_organoid_01,BU3_exp_org,BU3,TODO,GSE266789_BU3_exp_org,TODO,TODO,subset orig.ident == BU3_exp_org,scRNA-seq,731,yes,anchor,,extracted as converted/query_BU3_clean.h5ad
