local_query_sample_id	source_sample_id	raw_h5_path	output_h5ad_path	n_obs	n_vars	genome_reference	reference_overlap_pct	duplicate_symbols_handled	tdtomato_present	raw_counts_preserved	conversion_ok	note
GSM5819131_primary_preculture_PL2	GSM5819131	queries/raw/gse193716/GSM5819131_CG7.filtered_feature_bc_matrix.h5	queries/converted/gse193716/GSM5819131_primary_preculture_PL2.h5ad	1148	33539	GRCh38_tdtomato_10X	87.4	yes	yes	yes	yes	primary adult AEC2 freshly isolated; donor PL2; FACS EPCAM+/HTII-280+
GSM5819132_primary_preculture_PL1	GSM5819132	queries/raw/gse193716/GSM5819132_CG8.filtered_feature_bc_matrix.h5	queries/converted/gse193716/GSM5819132_primary_preculture_PL1.h5ad	879	33539	GRCh38_tdtomato_10X	87.4	yes	yes	yes	yes	primary adult AEC2 freshly isolated; donor PL1; FACS EPCAM+/HTII-280+
GSM5819129_primary_cultured_PL2	GSM5819129	queries/raw/gse193716/GSM5819129_CG5.filtered_feature_bc_matrix.h5	queries/converted/gse193716/GSM5819129_primary_cultured_PL2.h5ad	1439	33539	GRCh38_tdtomato_10X	87.4	yes	yes	yes	yes	primary adult AEC2 cultured with MRC5; donor PL2; FACS EPCAM+ post-culture
GSM5819130_primary_cultured_PL1	GSM5819130	queries/raw/gse193716/GSM5819130_CG6.filtered_feature_bc_matrix.h5	queries/converted/gse193716/GSM5819130_primary_cultured_PL1.h5ad	2097	33539	GRCh38_tdtomato_10X	87.4	yes	yes	yes	yes	primary adult AEC2 cultured with MRC5; donor PL1; FACS EPCAM+ post-culture
GSM5819133_iAEC2_3D	GSM5819133	queries/raw/gse193716/GSM5819133_CG12.filtered_feature_bc_matrix.h5	queries/converted/gse193716/GSM5819133_iAEC2_3D.h5ad	2982	33539	GRCh38_tdtomato_10X	87.4	yes	yes	yes	yes	iAEC2 SPC2-ST-B2 3D Matrigel feeder-free; Day 114
GSM5819134_iAEC2_3D_insert	GSM5819134	queries/raw/gse193716/GSM5819134_CG13.filtered_feature_bc_matrix.h5	queries/converted/gse193716/GSM5819134_iAEC2_3D_insert.h5ad	2068	33539	GRCh38_tdtomato_10X	87.4	yes	yes	yes	yes	iAEC2 SPC2-ST-B2 3D insert feeder-free; Day 114
GSM5819135_iAEC2_MRC5_insert	GSM5819135	queries/raw/gse193716/GSM5819135_CG14.filtered_feature_bc_matrix.h5	queries/converted/gse193716/GSM5819135_iAEC2_MRC5_insert.h5ad	2232	33539	GRCh38_tdtomato_10X	87.4	yes	yes	yes	yes	iAEC2 SPC2-ST-B2 +MRC5 insert; FACS EPCAM+ post-culture; Day 114
